"subject" "mrt_neutral" "sd_neutral" "alerting_mrt" "orienting_mrt" "sustained_mrt" "tau" "vis_mem_cap" "vis_mem_rate" "vis_mem_enc" "vis_mem_ret" "vis_mem_cons" "ver_mem_cap" "ver_mem_rate" "ver_mem_enc" "ver_mem_ret" "ver_mem_cons" "visuom_fixed_m" "visuom_fixed_sd" "visuom_random_d" "visuom_speed_d" "vis_wm_enc" "vis_wm_ce" "ver_wm_enc" "ver_wm_ce" "exec_mrt" "exec_acc" "motor_response" "age"
"33" 200033 -442.128571428571 -56.4307762234048 33.7895148669797 11.5027556644213 10.4166666666666 -50 -7.4 3.4 -26.5 4 5 6 5 49 1 -4 -36 -25 -32 -104.002955982914 65 -0.723076923076923 88 -28 -54.4160628019324 -2.8169014084507 -241 27
"34" 200034 -417.380281690141 -50.5829915505719 20.9952380952381 31.0798122065727 1.24275362318843 -45 -23.2 16.5 -42.9 2.7 3.3 8 7 59 -5 0 -35 -21 -32 -94.6604392028966 133 -0.473684210526316 117 -40 -75.5239436619718 -1.3888888888889 -248 24
"35" 200035 -502.222222222222 -81.2983069349241 32.2114632237872 50.5209311424101 61.6666666666666 -63 -9.7 9.7 -35.5 -3.41421356237 9 6 7 52 0 -2 -37 -26 -31 -108.163456798107 60 -0.175 54 -34 -126.774206349206 -2.77777777777779 -258 26
"36" 200036 -404.888888888889 -56.9490890887977 27.409126984127 39.490873015873 28.7916666666666 -41 -10.6 7.8 -44 2.8 6.2 8 7 62 -2 0 -37 -24 -36 -127.098855565863 184 -0.277173913043478 40 -5 -82.8230676328502 -2.8169014084507 -253 25
"37" 200037 -400.472222222222 -54.7027749179561 21.8357142857143 68.7083333333333 22.1666666666667 -20 -10.8 10.8 -20 0 10 8 7 61 -3 0 -37 -23 -33 -111.136995585425 140 -0.45 88 -53 -69.2912698412698 -2.77777777777779 -267 23
"38" 200038 -388.242857142857 -47.0360440619084 21.1285714285714 35.7647058823529 14.2173913043479 -29 -12.1 12.1 -53.5 -4 10 7 5 51 -1 -3 -41 -27 -27 -111.072133921553 117 -0.230769230769231 60 -30 -45.3647256674374 -5.55555555555556 -266 23
"39" 200039 -525.458333333333 -102.409965610472 27.7464788732394 49.3802816901409 77.4583333333333 -62 -10.8 10.8 -14.6 0 10 9 5 62 0 -1 -46 -41 -31 -120.776075203442 133 -0.548872180451128 54 6 -71.1564009661836 -4.16666666666666 -296 31
"40" 200040 -522.042857142857 -76.903371651889 26.3521126760563 52.5645539906103 -44.5543478260869 -63 -10.4 10.4 -30.3 0 10 7 5 53 -2 -3 -42 -28 -45 -137.137750664967 65 0.292307692307692 84 -60 -111.084915288835 -2.77777777777777 -299 31
"41" 200041 -459.661971830986 -64.9054133031779 25.591744913928 46.3611111111111 75.5778985507246 -64 -9.9 9.9 -13.9 0 10 8 6 60 -2 -1 -45 -30 -29 -119.827821710489 157.5 -0.0666666666666667 96 -19 -97.3090766823161 -1.38888888888889 -287 32
"42" 200042 -431.971428571429 -64.9380912375917 46.9428571428572 45.1751552795031 17.1431159420289 -43 -10 10 -10 -13.1289902045 7 8 6 58 -3 0 -37 -25 -37 -115.595434511009 82.5 -0.0666666666666667 70 -40 -116.326077943615 -6.94444444444444 -277 28
"43" 200043 -425.549295774648 -60.0220884894873 -16.9295774647887 86.4211063482343 -20.2898550724638 -37 -9.8 9.8 -21.4 -2.82842712475 9 8 7 60 -7 0 -36 -24 -26 -106.535795998898 133 0.0526315789473684 104 -8 -53.7843137254902 -5.55555555555556 -232 31
"44" 200044 -549.263888888889 -76.1447829689988 -0.135317460317538 78.3611111111111 -0.875 -64 -15.3 12.9 -53.1 -5.42842712475 5.6 6 7 50 -3 -1 -50 -33 -37 -151.794488403982 133 -0.218045112781955 84 0 -107.600743348983 -1.38888888888889 -317 28
"45" 200045 -442.507042253521 -54.299137914608 3.93192488262906 47.9430751173709 16.8315217391304 -41 -9.1 9.1 -13.5 0 10 6 9 62 0 0 -44 -35 -30 -122.644236666194 96 -0.0625 117 -77 -66.483372456964 -1.38888888888889 -256 30
"46" 200046 -410.5 -78.1999944401199 17.0321931589537 60.2814498933902 32.2047101449276 -89 -4 4 -4 0 10 6 9 60 -2 0 -52 -32 -34 -131.713100674355 110.5 0.330316742081448 54 -14 -48.1853769676885 -2.83646322378718 -296 34
"47" 200047 -433.416666666667 -75.4467912495896 38.0937010954617 61.6666666666667 30.7916666666667 -38 -4 4 -7 0 10 6 7 55 0 -2 -43 -27 -27 -112.238297554864 82.5 0.0181818181818182 24 -4 -36.625 0 -310 27
"48" 200048 -442.676056338028 -61.5893716823394 42.9789682539682 37.6983193277311 -15.1974637681159 -60 -12.8 12.8 -36.2 0 10 6 5 42 -1 -3 -47 -29 -36 -152.109581382646 104 0.125 40 8 -44.8513769182258 -5.55555555555556 -294 34
"49" 200049 -434.152777777778 -57.660165106099 14.0218253968254 26.9087301587302 30.8333333333334 -39 -17.8 15.8 -58.3 -6.472135955 6 12 3 68 -3 0 -36 -25 -41 -132.515885169247 126 -0.0714285714285714 70 -46 -84.7837301587301 -2.77777777777779 -285 34
"50" 200050 -595.304347826087 -82.9149642968495 35.4642018779342 -1.54166666666663 40.2083333333334 -68 -20.2 3.2 -93 1.8861895895 -11 4 4 31 -3 -7 -66 -43 -40 -193.187479916003 70 -0.292857142857143 70 -50 -87.4404761904763 -1.40845070422534 -321 24
"51" 200051 -475.43661971831 -76.6619168621676 20.5631790744467 60.9154929577464 -5.875 -40 -16.2 16.2 -26.6 0 9 9 5 60 -2 0 -42 -31 -38 -122.391799370181 150 -0.306666666666667 54 -24 -67.0357142857143 -1.40845070422534 -278 33
"52" 200052 -416.478873239437 -56.1309334515367 26.2492063492064 47.6835010060362 -0.240942028985501 -33 -12.9 12.9 -20.6 0 10 10 3 64 1 -2 -43 -30 -25 -125.545540310099 102 0.0196078431372549 40 8 -64.590873015873 -2.77777777777779 -260 33
"53" 200053 -436.513888888889 -67.2414177058015 0.584967320261399 43.6205007824726 -9.375 -50 -14.9 14.9 -29.9 -2.82842712475 8 9 3 60 0 -3 -41 -28 -25 -121.577075402975 96 0.286458333333333 96 -56 -120.866013071895 -5.55555555555556 -271 14
"54" 200054 -477.671428571429 -68.2751724409587 38.6969874804382 9.66666666666663 51.4782608695652 -64 0 0 0 0 9 8 7 64 -2 0 -42 -29 -36 -133.634545848206 165 -0.606060606060606 35 13 -66.75 0 -281 38
"55" 200055 -463.188405797101 -84.8622197104568 20.3871168185584 42.009942004971 27.0869565217391 -61 -14.1 12.1 -35.7 -3.41421356237 4 5 9 55 -1 -1 -48 -32 -30 -134.863921294085 40.5 1.37037037037037 35 0 -63.1475479744137 -4.16666666666666 -270 43
"56" 200056 -442.056338028169 -63.7232604591231 13.4145148669797 67.7967527386541 36.8840579710145 -54 -9.2 9.2 -24.8 0 10 6 9 61 0 0 -39 -24 -25 -105.17948522414 165 -0.109090909090909 77 -29 -83.6606025039123 -1.38888888888889 -256 51
"57" 200057 -438.138888888889 -77.1067132415658 14.6285714285714 100.171428571429 -7.25 -41 -13.2 13.2 -28.8 -7.82842712475 7 7 6 54 -2 -2 -46 -29 -27 -108.641051890308 71.5 0.258741258741259 88 -25 -99.9720149253732 -6.94444444444444 -271 42
"58" 200058 -501.7 -49.492599358938 2.88888888888891 64.3055555555556 3.38224637681157 -67 -8 7 -15.2 1 9 6 6 49 -1 -3 -76 -58 -46 -188.686059001519 65 -0.169230769230769 77 -53 -43.7083333333333 0 -277 54
"59" 200059 -444.625 -67.2063120568425 4.80000000000001 82.9394366197183 37.4166666666667 -29 -2.8 2.8 -2.8 0 10 5 8 50 -1 -2 -35 -22 -33 -112.451401268582 221 -0.470588235294118 84 -30 -81.9649758454106 -4.16666666666666 -263 30
"60" 200060 -428.774647887324 -71.2809726531158 65.1527777777778 27.8888888888889 6.34963768115938 -37 -15.7 15.7 -22.5 0 10 5 9 54 -1 -1 -47 -31 -39 -151.410587455461 88 0.227272727272727 54 -34 -65.4426328502416 -4.16666666666666 -298 29
"61" 200061 -539.323529411765 -91.0021225234623 17.0225352112676 19.1917505030182 49.7569169960474 -109 -10.2 10.2 -18.9 -2.82842712475 8 6 7 49 1 -2 -51 -34 -40 -139.742278107542 82.5 0 40 -28 -78.3980158730159 -2.77777777777779 -265 54
"62" 200062 -602.154929577465 -79.4525281243593 -7.125 17.93720657277 87.2554347826087 -80 -12.2 1.1 -65.6 2.27157287525 -4.1 6 9 53 -1 0 -60 -41 -37 -177.702880895215 65 -0.376923076923077 54 -34 -25.8055555555555 0 -317 70
"63" 200063 -445.722222222222 -66.0700060269456 -1.94444444444446 78.2549019607843 19.8333333333333 -54 -9.8 9.8 -24.7 0 9 8 7 66 -2 0 -50 -34 -34 -136.922358495383 104 -0.259615384615385 77 -37 -85.8522147377015 -2.77777777777777 -376 49
"71" 200071 -484.305555555556 -76.0527316857857 41.2816901408451 1.16901408450707 21.875 -46 -13.5 6 -74.6 -3.6529824451 1.5 5 8 51 -1 -2 -36 -23 -32 -101.15978669685 117 0.136752136752137 70 -50 -73.5916666666666 -2.77777777777779 -268 30
"73" 200073 -472.056338028169 -70.0397616304877 4.51388888888891 82.6113067292644 77.5960144927536 -43 -18 13.5 -48.9 -2.32842712475 2.5 5 8 49 -3 -1 -41 -25 -37 -115.804941689805 82.5 0.0181818181818182 54 -19 -24.0704225352113 1.38888888888889 -284 51
"75" 200075 -572.098591549296 -63.4550808344156 -15.4387715179968 57.8194444444443 80.5344202898551 -28 -11.9 11.9 -14.7 0 7 7 8 58 -2 0 -42 -30 -50 -173.239556365802 157.5 -0.352380952380952 77 -37 -113.791666666667 0 -279 50
